Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
BSA,,,Non-restricted,Bolt Action,Rifle,303,Multi-shots,> 470mm,02-12-26,Individual,V2,BC,Canada,,,"
",
Browning,7mm Magnum,,Non-restricted,Bolt Action,Rifle,7mm Magnum,1,> 470mm,03-03-13,Individual,V8,BC,Canada,,,"
",
Winchester,70,,Non-restricted,Bolt Action,Rifle,0.243,1,> 470mm,03-03-13,Individual,V8,BC,Canada,,,"
",
Winchester,100,,Non-restricted,Semi-Automatic,Rifle,0.243,1,> 470mm,03-03-13,Individual,V8,BC,Canada,,,"
",
GAUCHA-IGA,CONDOR,,Non-restricted,Hinge Break,Shotgun,12,Multi-shots,> 470mm,02-12-26,Individual,L7,ON,Canada,,,"
",
Springfield,188H,Savage,Non-restricted,Semi-Automatic,Rifle,22 LR                         ,15,610,99-10-29,Individual,T0,AB,Canada,,,"
",
Herbert Schmidt,21S                                                               ,Herbert Schmidt,Restricted,Revolver,Handgun,22 LR                         ,6,140,03-01-23,Individual,M1,ON,Canada,,,"
",
Llama,XI B                                                              ,Gabilondo Y Cia,Restricted,Semi-Automatic,Handgun,9MM LUGER                     ,8,108,04-11-18,Individual,K0,ON,Canada,,,"
",
Ruger,Single Six,Sturm Ruger                                       ,Restricted,Revolver,Handgun,22 MAG                        ,6,140,99-12-03,Individual,K0,ON,Canada,,,"
",
Lakefield,MARK I,Lakefield Arms                                                   ,Non-restricted,Single Shot,Rifle,22 LR                         ,1,578,99-06-09,Business,Y0,YT,Canada,,,"
",
Remington,700 SPS,Remington,Non-restricted,Bolt Action,Rifle,300 WIN MAG,3,660,06-05-18,Individual,L4,ON,Canada,,,"
",
Ruger,22-Oct,,Non-restricted,Semi-Automatic,Rifle,22,Multi-shots,<= 470mm,02-12-26,Individual,S6,SK,Canada,,,"
",
Sako,Finnbear L61R,,Non-restricted,Bolt Action,Rifle,338 Win Mag,Multi-shots,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Remington,700 ML,,Non-restricted,Bolt Action,Other,50 Cal,1,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
Remington,870 Express Super Magnum,Remington,Non-restricted,Pump Action,Shotgun,"12 GA X 3 1/2""",3,660,99-09-03,Individual,T4,AB,Canada,,,"
",
Remington,870 Express,,Non-restricted,Pump Action,Shotgun,"410 X 3""",4,635,00-04-22,Business,J0,QC,Canada,,,"
",
Remington                                                         ,SP-10                                                             ,Remington,Non-restricted,Semi-Automatic,Shotgun,"10 GA X 3 1/2""                ",3,762,99-08-03,Individual,J0,QC,Canada,,,"
",
Squires Bingham,20A,Armscor,Non-restricted,Semi-Automatic,Rifle,22 LR,10,533,05-12-29,Individual,J0,QC,Canada,,,"
",
